"flightdate","month","dayofmonth","arrdelay","depdelay","distance","taxiin","taxiout","carrierdelay","weatherdelay","nasdelay","securitydelay","lateaircraftdelay"
"2008-12-31",12,31,"211239","186654","3120750","29102","83663","63361","15859","48093","337","83589"
"2008-12-30",12,30,"208733","191278","3076830","30718","82673","62184","11403","54561","423","80162"
"2008-12-29",12,29,"133647","132590","2162967","21050","50493","59673","2941","17315","435","53283"
"2008-12-28",12,28,"264546","256653","3427921","38685","93793","98948","11718","46967","311","106602"
"2008-12-27",12,27,"592702","530518","5822953","65902","177686","155183","42806","131515","361","262837"
"2008-12-26",12,26,"565116","498050","5213616","67035","170051","119023","39784","136647","453","269209"
"2008-12-25",12,25,"193354","168508","2862113","31526","71433","65673","11766","45217","74","70624"
"2008-12-24",12,24,"515397","461946","5399203","61968","150234","128826","32800","130602","595","222574"
"2008-12-23",12,23,"689233","597566","6486411","84487","214106","148057","52476","177166","1254","310280"
"2008-12-22",12,22,"546641","519147","6488388","75142","165956","176879","38410","87206","1559","242587"
"2008-12-21",12,21,"671927","594101","6841963","89047","201655","163371","68841","154551","413","284751"
"2008-12-20",12,20,"591380","499098","6315364","72325","198732","149684","57242","160153","1221","223080"
"2008-12-19",12,19,"716421","621271","6597074","80634","202646","135872","74400","191569","629","313951"
"2008-12-18",12,18,"475387","423626","5919044","62779","149747","109973","53941","93985","525","216963"
"2008-12-17",12,17,"434109","365070","5847907","61447","174961","105974","27025","119936","237","180937"
"2008-12-16",12,16,"442197","314071","5355076","67789","204517","79582","40908","171124","197","150386"
"2008-12-15",12,15,"391010","326167","5163353","52849","152686","79813","26844","148133","121","136099"
"2008-12-14",12,14,"231706","181761","3494551","33642","111889","53887","9187","84451","197","83984"
"2008-12-13",12,13,"103010","80533","1867898","17410","55114","31541","6141","31016","91","34221"
"2008-12-12",12,12,"184329","158739","2955029","29913","91698","54164","6767","61011","127","62260"
"2008-12-11",12,11,"279159","235780","3659086","39916","112361","65150","19234","101875","197","92703"
"2008-12-10",12,10,"331116","261401","3683622","45874","141832","60004","17643","139799","191","113479"
"2008-12-09",12,9,"227913","147865","3054215","34511","115146","42726","13568","105888","65","65666"
"2008-12-08",12,8,"125954","90257","2017640","22477","75084","34576","6949","46396","256","37777"
"2008-12-07",12,7,"165953","135331","2608688","26953","84669","42265","5460","63698","117","54413"
"2008-12-06",12,6,"93018","64459","1559263","18373","62000","28275","4725","32920","494","26604"
"2008-12-05",12,5,"108935","85968","2074275","20976","57365","39912","2653","29701","97","36572"
"2008-12-04",12,4,"160901","120993","2800875","28225","88677","41197","3655","57055","253","58741"
"2008-12-03",12,3,"126665","95576","2269869","26018","73590","36825","5499","42744","98","41499"
"2008-12-02",12,2,"132958","116628","2445662","26407","67127","50514","1667","33957","208","46612"
"2008-12-01",12,1,"635010","566022","6444573","77707","191478","117898","35647","164145","645","316675"
"2008-11-30",11,30,"737971","608737","6792017","78619","247968","107060","36956","269452","430","324073"
"2008-11-29",11,29,"163663","124312","2552683","28656","78103","45061","3922","55039","273","59368"
"2008-11-28",11,28,"42313","36144","896764","7619","19602","19789","2020","10598","76","9830"
"2008-11-27",11,27,"40559","35143","738075","7705","17468","16360","1546","11822","87","10744"
"2008-11-26",11,26,"85893","75736","1552573","15409","44801","29951","1500","22206","42","32194"
"2008-11-25",11,25,"100992","83625","1775611","19161","55524","34458","2900","33676","46","29912"
"2008-11-24",11,24,"90276","72776","1582508","17217","50331","34884","1696","24658","24","29014"
"2008-11-23",11,23,"63748","59032","1152834","11829","28357","29194","2066","11522","129","20837"
"2008-11-22",11,22,"100794","93711","1655088","15492","40277","33796","4661","22382","99","39856"
"2008-11-21",11,21,"155448","132073","2699471","27192","79860","47911","4389","41139","141","61868"
"2008-11-20",11,20,"126857","104373","2270453","23866","69738","43073","1731","36341","161","45551"
"2008-11-19",11,19,"88788","76528","1330788","13974","44895","28837","480","29409","71","29991"
"2008-11-18",11,18,"68510","54403","1329614","13105","39644","30024","999","21682","165","15640"
"2008-11-17",11,17,"79635","66126","1497773","15991","47197","33545","1796","23798","19","20477"
"2008-11-16",11,16,"122848","108665","1972713","21385","64445","43092","3503","40908","7","35338"
"2008-11-15",11,15,"118064","90100","1968519","18264","60093","32645","4273","52007","211","28928"
"2008-11-14",11,14,"373261","315776","3775584","45236","137038","59557","16634","148522","108","148440"
"2008-11-13",11,13,"243412","192659","3311415","36632","117599","46296","8839","108806","409","79062"
"2008-11-12",11,12,"147311","117881","2436010","23919","71382","37270","1888","61077","37","47039"
"2008-11-11",11,11,"148232","106508","2061062","20924","75005","36062","4913","62052","114","45091"
"2008-11-10",11,10,"105106","87737","1630558","17344","48326","34518","8056","32320","64","30148"
"2008-11-09",11,9,"151348","146013","1899434","19510","52790","41437","1547","42643","13","65708"
"2008-11-08",11,8,"80341","72608","1306481","12099","36800","26754","2172","31050","167","20198"
"2008-11-07",11,7,"174215","158408","2669487","29373","82425","46197","5058","66188","159","56613"
"2008-11-06",11,6,"208196","187222","2574271","26234","81418","39391","7940","99488","55","61322"
"2008-11-05",11,5,"94255","67334","1674496","16491","54006","24914","1794","44944","89","22514"
"2008-11-04",11,4,"68819","58737","1291120","12503","35696","20322","806","25314","88","22289"
"2008-11-03",11,3,"108490","92207","1690824","16241","48152","30274","2170","36011","40","39995"
"2008-11-02",11,2,"149031","141548","1957874","19888","49303","40428","2308","41052","50","65193"
"2008-11-01",11,1,"80193","73894","1147667","10840","26551","28875","879","21790","713","27936"
"2008-10-31",10,31,"85474","78036","1483999","13889","35880","30228","1101","24440","23","29682"
"2008-10-30",10,30,"88802","76902","1658463","17103","47002","34495","927","26274","472","26634"
"2008-10-29",10,29,"80370","71645","1368685","13675","36598","29091","2416","27258","49","21556"
"2008-10-28",10,28,"175320","152043","2409836","22614","71047","40206","9435","75243","19","50417"
"2008-10-27",10,27,"168565","144398","2652635","26150","75810","42433","4048","56178","174","65732"
"2008-10-26",10,26,"149928","138346","2124822","20691","56252","51406","3962","41745","135","52680"
"2008-10-25",10,25,"123130","98824","1813817","15610","49720","34432","6244","54359","50","28045"
"2008-10-24",10,24,"290109","245227","2986122","35502","102609","58710","9417","90147","583","131252"
"2008-10-23",10,23,"99614","81558","1936700","18411","53092","41745","479","25732","82","31576"
"2008-10-22",10,22,"145599","120262","2243651","20830","65903","35786","11568","51177","90","46978"
"2008-10-21",10,21,"73041","62460","1441130","12528","40443","24695","2066","26462","30","19788"
"2008-10-20",10,20,"84060","73169","1605820","15953","40463","34968","1125","20115","84","27768"
"2008-10-19",10,19,"90323","80965","1676000","16951","46918","38863","879","21314","240","29027"
"2008-10-18",10,18,"46856","42466","891837","9105","22402","24388","1912","9686","120","10750"
"2008-10-17",10,17,"126512","102839","2174163","23453","73477","47069","1602","35371","163","42307"
"2008-10-16",10,16,"155166","135548","2469677","24271","75520","48016","3305","55345","270","48230"
"2008-10-15",10,15,"177791","142952","2214410","22061","82549","41159","10494","72401","98","53639"
"2008-10-14",10,14,"59525","50247","1179802","13463","32512","27185","515","14385","46","17394"
"2008-10-13",10,13,"90116","75548","1581077","18288","46572","34419","905","22657","293","31842"
"2008-10-12",10,12,"101784","85360","1728360","19561","52007","34553","4228","26778","476","35749"
"2008-10-11",10,11,"77079","58469","1522712","15415","40045","26894","3061","25117","70","21937"
"2008-10-10",10,10,"115814","95188","2018826","21562","63044","41897","2794","28846","561","41716"
"2008-10-09",10,9,"117524","101714","2033432","21148","59153","42700","3398","34129","66","37231"
"2008-10-08",10,8,"167589","138912","1940338","25252","69802","46300","4576","56372","70","60271"
"2008-10-07",10,7,"108593","86244","1530193","15347","51495","34090","2494","40147","97","31765"
"2008-10-06",10,6,"76101","62480","1454296","15726","38739","30164","1600","20042","107","24188"
"2008-10-05",10,5,"112012","99299","1861715","20023","53691","42181","5113","29735","677","34306"
"2008-10-04",10,4,"59997","54123","890987","8223","21869","26078","308","14599","16","18996"
"2008-10-03",10,3,"104150","96126","1750898","17930","52558","34621","2421","33136","59","33913"
"2008-10-02",10,2,"92936","86920","1392465","14105","41561","35862","1667","26832","63","28512"
"2008-10-01",10,1,"63130","53611","1157715","11781","35006","30420","1032","16362","2","15314"
"2008-09-30",9,30,"76192","63514","1270165","12812","38567","30007","2262","23937","124","19862"
"2008-09-29",9,29,"109101","97862","1672828","16850","46464","40653","1694","34616","1","32137"
"2008-09-28",9,28,"148520","125463","2073778","21807","71829","41321","8123","53399","42","45635"
"2008-09-27",9,27,"75750","60825","1356977","14499","44386","27455","2739","27900","135","17521"
"2008-09-26",9,26,"229789","207743","2903153","29062","86346","48834","11513","91066","521","77855"
"2008-09-25",9,25,"145983","114293","2488711","24148","78639","42787","3437","58749","53","40957"
"2008-09-24",9,24,"96650","73228","1767489","20373","56251","35855","3484","32938","168","24205"
"2008-09-23",9,23,"66199","49223","1281466","12642","39223","26148","2826","23116","165","13944"
"2008-09-22",9,22,"97926","79057","1761176","19119","57685","36516","1696","29188","333","30193"
"2008-09-21",9,21,"125117","113705","1738780","19075","53330","48628","3226","27195","184","45884"
"2008-09-20",9,20,"43491","40467","855832","8527","21385","22097","736","9628","86","10944"
"2008-09-19",9,19,"91024","78500","1627109","17133","52786","36319","1983","24548","282","27892"
"2008-09-18",9,18,"81244","67455","1514023","16708","51869","30565","1866","25375","131","23307"
"2008-09-17",9,17,"77690","68465","1271982","12740","37127","35699","1600","19407","38","20946"
"2008-09-16",9,16,"83495","73584","1270420","12908","38486","37719","1130","19793","79","24774"
"2008-09-15",9,15,"157260","149820","2043619","21460","56062","72577","8966","29361","381","45975"
"2008-09-14",9,14,"220510","204214","2447835","26970","77899","60171","18903","69456","81","71899"
"2008-09-13",9,13,"130154","111907","1766365","20939","47079","35360","12037","46157","173","36427"
"2008-09-12",9,12,"264493","228814","3134038","34433","107047","60054","12194","107222","526","84497"
"2008-09-11",9,11,"120807","97239","2045918","21040","65719","43142","4411","34934","192","38128"
"2008-09-10",9,10,"80902","64681","1420406","14608","48086","33013","1540","23733","55","22561"
"2008-09-09",9,9,"245428","209228","2919885","28428","93511","47483","18461","96301","48","83135"
"2008-09-08",9,8,"210501","170045","2538809","29898","90891","56161","14819","79340","167","60014"
"2008-09-07",9,7,"96741","86996","1486900","18972","38295","53821","1206","15971","171","25572"
"2008-09-06",9,6,"97600","85741","1497564","14167","40964","34268","5130","35432","185","22585"
"2008-09-05",9,5,"83869","68658","1607126","16378","50665","37072","895","23016","88","22798"
"2008-09-04",9,4,"155627","132994","1782841","18236","61119","40089","4036","66138","202","45162"
"2008-09-03",9,3,"64549","54445","1126401","12341","33347","28071","3475","15497","64","17442"
"2008-09-02",9,2,"85063","72475","1553626","15407","45570","39738","1315","20449","106","23455"
"2008-09-01",9,1,"72268","67486","1316663","12754","32077","37065","1329","13627","42","20205"
"2008-08-31",8,31,"49575","46077","875116","8622","19844","26856","1389","10252","50","11028"
"2008-08-30",8,30,"75117","68420","1302488","13793","36509","31136","4440","17882","81","21578"
"2008-08-29",8,29,"179838","167233","2765769","27597","81184","61333","18130","36335","91","63949"
"2008-08-28",8,28,"141341","120118","2422085","24153","75743","56006","6847","35967","89","42432"
"2008-08-27",8,27,"116175","95394","2119927","20692","68200","44810","4765","35476","172","30952"
"2008-08-26",8,26,"253349","203139","2840678","33739","121646","52334","6670","114729","334","79282"
"2008-08-25",8,25,"236801","206476","2886375","31514","91427","56732","21474","80856","151","77588"
"2008-08-24",8,24,"135639","118104","2139448","23902","67499","53160","4807","38258","114","39300"
"2008-08-23",8,23,"107078","99664","1755399","17037","44068","40902","6053","23974","383","35766"
"2008-08-22",8,22,"180188","159819","2679194","27813","84144","59959","6948","47857","153","65271"
"2008-08-21",8,21,"235847","202830","3269553","32602","95890","65974","9390","66601","110","93772"
"2008-08-20",8,20,"238382","184713","3479162","33893","127888","54085","8929","80846","229","94293"
"2008-08-19",8,19,"118050","100879","2016977","20331","57024","47471","1342","32741","29","36467"
"2008-08-18",8,18,"171439","155898","2696881","26533","72278","61743","5680","41980","240","61796"
"2008-08-17",8,17,"160068","151192","2581142","25888","61936","74294","1794","29279","557","54144"
"2008-08-16",8,16,"219435","203753","3453318","31404","76587","76580","11734","48720","295","82106"
"2008-08-15",8,15,"442513","389608","5254725","50034","154539","92461","28579","139596","357","181520"
"2008-08-14",8,14,"339631","278181","3876419","40449","129954","74527","35002","125192","122","104788"
"2008-08-13",8,13,"156517","137672","2596901","25958","70121","71629","2543","33214","703","48428"
"2008-08-12",8,12,"183196","165143","3266238","29708","82774","72754","4234","41739","337","64132"
"2008-08-11",8,11,"400038","369646","4252287","41018","120046","98440","28556","122670","245","150127"
"2008-08-10",8,10,"394914","345702","4038895","41365","125116","81879","24902","136613","167","151353"
"2008-08-09",8,9,"166589","150745","2858258","26728","72222","62391","4600","44027","192","55379"
"2008-08-08",8,8,"276873","253199","3657888","35481","108082","93758","10818","78752","500","93045"
"2008-08-07",8,7,"393374","325247","4733146","51561","172479","88534","26724","145066","181","132869"
"2008-08-06",8,6,"218089","187091","3172385","32624","101671","68020","11109","68229","283","70448"
"2008-08-05",8,5,"279888","259517","3712106","38724","97281","85491","23511","67268","215","103403"
"2008-08-04",8,4,"392791","356187","3839742","43522","123035","86878","32933","122970","549","149461"
"2008-08-03",8,3,"227064","208768","3367387","34556","98861","92659","9187","45289","73","79856"
"2008-08-02",8,2,"343598","302476","4035997","38797","124556","97654","24654","104633","252","116405"
"2008-08-01",8,1,"262677","245484","3665106","42069","114306","100134","11162","51737","160","99484"
"2008-07-31",7,31,"452659","402175","4409896","55958","147266","94732","44781","150650","147","162349"
"2008-07-30",7,30,"221042","191184","3330373","33155","103036","81048","11626","53200","98","75070"
"2008-07-29",7,29,"221842","183948","2967902","31043","101923","70312","8725","77196","158","65451"
"2008-07-28",7,28,"227245","216848","3241265","32782","88229","95633","6323","46776","240","78273"
"2008-07-27",7,27,"470486","431100","4250478","44504","132535","100908","37818","152029","266","179465"
"2008-07-26",7,26,"158969","148502","2624279","25133","66058","61778","6435","37171","184","53401"
"2008-07-25",7,25,"227970","215144","3375431","35618","91885","93130","7655","39597","2144","85444"
"2008-07-24",7,24,"409892","376865","5123675","50536","145848","113123","20819","106087","2734","167129"
"2008-07-23",7,23,"464798","372546","4751822","47384","176014","92086","41028","185981","146","145557"
"2008-07-22",7,22,"304742","246028","3892619","39186","144017","69307","16603","120719","980","97133"
"2008-07-21",7,21,"234639","211016","3337350","33740","99922","81004","8496","69622","245","75272"
"2008-07-20",7,20,"326249","275561","3727214","37931","134573","87904","16022","120931","208","101184"
"2008-07-19",7,19,"182883","165225","2834699","27561","83436","60972","4709","55549","218","61435"
"2008-07-18",7,18,"246999","210934","3207958","35053","114293","73810","5964","76731","440","90054"
"2008-07-17",7,17,"201030","163861","3219581","30276","109427","62402","7988","68442","187","62011"
"2008-07-16",7,16,"148725","134480","2339609","23171","68098","64645","2410","32991","416","48263"
"2008-07-15",7,15,"182010","165736","2684281","26878","75078","62448","11265","41635","284","66378"
"2008-07-14",7,14,"253382","235159","3745210","39429","111495","95713","9862","54770","58","92979"
"2008-07-13",7,13,"608987","519947","4934611","65817","184390","94267","63211","229581","196","221732"
"2008-07-12",7,12,"217259","192500","3473293","34804","92803","68497","13110","60423","241","74988"
"2008-07-11",7,11,"218346","196153","3240831","34735","97712","83143","7591","52261","109","75242"
"2008-07-10",7,10,"431011","371585","3900620","45342","142222","83050","55911","143400","278","148372"
"2008-07-09",7,9,"326548","273386","4266179","41361","147466","75520","14212","125721","281","110814"
"2008-07-08",7,8,"428153","358563","5006471","52127","177068","95492","28566","140092","763","163240"
"2008-07-07",7,7,"395050","348910","5227998","51595","163231","100474","16415","119885","252","158024"
"2008-07-06",7,6,"422759","380479","4245866","47920","138321","89121","44034","137304","144","152156"
"2008-07-05",7,5,"132291","117473","2016341","21662","57174","46786","10396","34467","390","40252"
"2008-07-04",7,4,"73161","68100","1172501","11041","27139","36768","2797","14628","24","18944"
"2008-07-03",7,3,"166039","152521","2657592","26857","76300","64570","4759","41001","134","55575"
"2008-07-02",7,2,"271169","228976","3257183","34386","103754","62600","24193","91414","971","91991"
"2008-07-01",7,1,"138611","121435","2475632","24092","67804","55854","2070","35783","190","44714"
"2008-06-30",6,30,"203027","185055","3351415","34135","90719","79358","6730","43824","239","72876"
"2008-06-29",6,29,"446493","399135","4907392","50352","151080","103556","26061","153054","370","163452"
"2008-06-28",6,28,"283054","235621","4029951","38760","118763","75156","22486","91965","778","92669"
"2008-06-27",6,27,"403605","346762","5284046","53039","176941","92301","17979","144759","315","148251"
"2008-06-26",6,26,"465486","401152","5233383","53330","173699","103843","33828","152787","338","174690"
"2008-06-25",6,25,"266341","230825","3804173","36409","112065","73703","11872","77426","177","103163"
"2008-06-24",6,24,"227868","205693","3458043","32127","96749","67859","8478","60056","320","91155"
"2008-06-23",6,23,"395401","355980","5239076","51243","147735","102584","20284","128208","456","143869"
"2008-06-22",6,22,"457077","390922","5168592","50976","164826","85790","30115","165705","192","175275"
"2008-06-21",6,21,"226002","194011","3567893","33558","93919","67817","15413","52198","433","90141"
"2008-06-20",6,20,"255270","211066","4177478","40962","123442","81330","9516","74893","379","89152"
"2008-06-19",6,19,"365635","314884","4943582","48814","142419","78929","38558","83788","363","163997"
"2008-06-18",6,18,"258599","203906","3760800","35224","119320","63973","18638","93668","107","82213"
"2008-06-17",6,17,"261041","225346","3892717","38920","110702","69837","16244","71573","333","103054"
"2008-06-16",6,16,"451709","397027","5233057","49578","155737","104813","25013","156483","305","165095"
"2008-06-15",6,15,"373288","336063","4580756","47793","132519","103025","13052","96658","392","160161"
"2008-06-14",6,14,"276198","225350","3596468","36478","112266","73083","20189","99030","494","83402"
"2008-06-13",6,13,"406814","333661","5731232","54285","169847","83579","23821","144756","352","154306"
"2008-06-12",6,12,"261997","212706","4347188","42240","121968","79916","8868","79714","375","93124"
"2008-06-11",6,11,"280767","208520","4527151","43687","144432","72529","11984","109641","70","86543"
"2008-06-10",6,10,"371959","303088","4752890","46589","145263","85850","29993","128473","233","127410"
"2008-06-09",6,9,"393837","338520","5209953","52860","147942","111656","21830","113064","471","146816"
"2008-06-08",6,8,"452829","369290","4837256","51124","147401","99528","34203","163011","361","155726"
"2008-06-07",6,7,"230158","186381","3419488","31040","98378","81529","6798","65123","277","76431"
"2008-06-06",6,6,"383811","328335","4792940","46620","147891","90971","12574","139374","284","140608"
"2008-06-05",6,5,"386937","313535","5693864","51343","155475","91476","20071","136302","260","138828"
"2008-06-04",6,4,"481911","379798","5806856","54385","196949","82680","45624","186761","561","166285"
"2008-06-03",6,3,"301627","226040","4248230","37062","134872","56436","12561","133440","161","99029"
"2008-06-02",6,2,"115640","99205","2236028","20021","54488","52463","2620","26333","452","33772"
"2008-06-01",6,1,"187891","156984","3295439","30434","85552","66697","6429","54851","766","59148"
"2008-05-31",5,31,"261786","209692","3401966","31045","94800","56749","16224","99438","2348","87027"
"2008-05-30",5,30,"259820","210922","3321616","31000","104028","53343","6143","105699","73","94562"
"2008-05-29",5,29,"121079","98842","2422608","21287","60477","40358","2760","40538","88","37335"
"2008-05-28",5,28,"138762","111433","2839261","24313","72077","53958","2031","37374","309","45090"
"2008-05-27",5,27,"371294","309266","3675703","36073","121681","58695","45458","131347","417","135377"
"2008-05-26",5,26,"117911","103304","2167536","18996","52146","47036","3283","31353","282","35957"
"2008-05-25",5,25,"61943","54575","1222933","10700","23301","29805","2113","12224","83","17718"
"2008-05-24",5,24,"108657","94554","2053332","17923","45019","40457","2389","26598","195","39018"
"2008-05-23",5,23,"248073","201464","4448426","40917","120019","77186","6195","71529","190","92973"
"2008-05-22",5,22,"318692","264695","5071482","44938","139087","78327","10652","99470","502","129741"
"2008-05-21",5,21,"144752","125460","2626073","25017","69541","53756","1463","39302","307","49924"
"2008-05-20",5,20,"259332","209187","3383276","33487","119558","56836","13423","101739","103","87231"
"2008-05-19",5,19,"161480","150371","2829746","26541","71007","59061","2680","42131","267","57341"
"2008-05-18",5,18,"167007","152900","2674063","24652","67467","53806","5965","44711","176","62349"
"2008-05-17",5,17,"81561","74930","1637852","15513","32557","41422","1426","15736","97","22880"
"2008-05-16",5,16,"309021","265489","4285094","42581","121224","70275","11027","113130","278","114311"
"2008-05-15",5,15,"177425","142745","3450374","33216","86550","62268","5163","49253","253","60488"
"2008-05-14",5,14,"207341","171373","3239395","32588","88366","60566","7954","59665","96","79060"
"2008-05-13",5,13,"150162","105006","2757672","24287","85021","43518","4121","58151","48","44324"
"2008-05-12",5,12,"264480","235487","4167180","36400","97916","66527","7677","88549","472","101255"
"2008-05-11",5,11,"234363","197163","3604846","35836","90052","65321","6016","79331","593","83102"
"2008-05-10",5,10,"98486","79339","2365773","18745","42555","40101","1566","27767","456","28596"
"2008-05-09",5,9,"254013","218173","4073505","36034","99934","60935","7569","96302","39","89168"
"2008-05-08",5,8,"153756","131562","2901642","26036","75854","47517","4228","50297","273","51441"
"2008-05-07",5,7,"230353","175545","3812717","34542","111801","51681","3810","86139","448","88275"
"2008-05-06",5,6,"136359","106006","2548330","23515","62224","42850","6046","38368","108","48987"
"2008-05-05",5,5,"172710","138005","2887359","28188","86281","55193","5437","47907","66","64107"
"2008-05-04",5,4,"134593","124964","2171044","20643","52682","50364","2646","35414","193","45976"
"2008-05-03",5,3,"138890","123048","2327432","21096","60265","62562","4373","30546","440","40969"
"2008-05-02",5,2,"556445","469194","5857577","60383","185005","91816","35310","183645","288","245386"
"2008-05-01",5,1,"172784","132294","3013468","27885","98029","50342","4865","53018","263","64296"
"2008-04-30",4,30,"106766","89287","1986232","17868","56740","43133","1267","31056","136","31174"
"2008-04-29",4,29,"133965","119736","2202014","20462","65559","41323","3920","44024","52","44646"
