"flightdate","month","dayofmonth","arrdelay","depdelay","distance","taxiin","taxiout","carrierdelay","weatherdelay","nasdelay","securitydelay","lateaircraftdelay"
"2007-08-29",8,29,"192873","211493","14890517","145714","358052","66789","34034","80450","284","111650"
"2007-08-28",8,28,"-1875","57133","14807248","138978","326648","49554","3528","34857","129","38862"
"2007-08-27",8,27,"106030","145223","15256599","145931","352846","68717","9261","51196","145","70032"
"2007-08-26",8,26,"147069","195933","14896296","144815","332521","81531","20678","53063","366","85411"
"2007-08-25",8,25,"203541","237621","13504472","124352","294030","80480","18370","74779","360","98448"
"2007-08-24",8,24,"422195","398602","14973327","154899","376647","114461","33275","133117","456","184744"
"2007-08-23",8,23,"370378","346933","14545968","142243","364894","83959","44579","147490","536","151702"
"2007-08-22",8,22,"238939","242162","14952346","143268","363347","81260","13722","103868","869","106143"
"2007-08-21",8,21,"300580","310344","14669271","141987","357336","91561","10078","126127","689","132998"
"2007-08-20",8,20,"442018","413706","15169582","146397","374947","118263","15056","152547","486","200053"
"2007-08-19",8,19,"394711","387298","14896240","142637","351303","107530","15519","127746","402","193102"
"2007-08-18",8,18,"180969","221505","14063151","128711","296302","93968","7775","47787","632","87944"
"2007-08-17",8,17,"419145","386278","15067454","148269","385900","114416","28805","142558","523","176770"
"2007-08-16",8,16,"395779","374788","15321677","147367","380377","98882","31095","120496","203","193025"
"2007-08-15",8,15,"147897","184060","15454628","146974","354311","80612","6483","50611","352","83431"
"2007-08-14",8,14,"186158","224906","15406105","150736","356937","78794","11229","65327","262","106527"
"2007-08-13",8,13,"137210","190142","15521237","151160","346592","85759","6211","38954","1100","82502"
"2007-08-12",8,12,"111810","192664","15155860","147797","310704","86373","5075","28664","1892","78235"
"2007-08-11",8,11,"47186","138583","14197034","130615","278804","65830","2640","20179","981","51066"
"2007-08-10",8,10,"354953","386542","15421897","153033","357097","122692","15889","103181","2341","160154"
"2007-08-09",8,9,"507412","477965","15134450","152380","397078","110095","37074","179324","495","234019"
"2007-08-08",8,8,"326909","352757","15365278","148661","357995","110486","27227","80887","592","158646"
"2007-08-07",8,7,"280234","300425","15321768","149644","356999","101099","19872","73095","616","139483"
"2007-08-06",8,6,"355778","365592","15430556","151890","358819","113226","21096","113459","408","150422"
"2007-08-05",8,5,"354142","350412","15061096","147387","360627","109332","20684","107571","630","165234"
"2007-08-04",8,4,"117058","181793","14168501","134960","288655","84165","3068","31933","500","64586"
"2007-08-03",8,3,"272733","266786","15328388","153326","382268","94786","15908","104928","376","112586"
"2007-08-02",8,2,"195312","227846","15554080","150701","362857","92171","5445","45843","406","109272"
"2007-08-01",8,1,"305591","317700","15366233","156663","369790","92456","22612","81640","417","163765"
"2007-07-31",7,31,"297990","316260","15332765","153156","365257","106710","27410","68424","1047","147739"
"2007-07-30",7,30,"471369","477052","15308175","153746","363187","163070","30140","97100","864","215363"
"2007-07-29",7,29,"645006","612993","14386074","153965","358739","123594","62857","196203","1534","299956"
"2007-07-28",7,28,"222665","262622","14017349","133687","302872","104082","11358","50606","1164","103103"
"2007-07-27",7,27,"467118","409043","15218873","152961","407381","112796","35690","175071","1279","176297"
"2007-07-26",7,26,"431408","387381","15389734","148559","408372","100426","17024","144898","490","207064"
"2007-07-25",7,25,"157306","179058","15474819","146853","363762","79358","6724","59914","803","87936"
"2007-07-24",7,24,"69003","137006","15458154","146484","334856","67854","2411","33525","519","60981"
"2007-07-23",7,23,"306696","318438","15426618","149924","361298","91557","13641","122265","737","137016"
"2007-07-22",7,22,"178322","217654","15150845","147537","335821","82135","10694","55335","667","95605"
"2007-07-21",7,21,"107795","170526","14222052","135992","287992","76389","10895","37624","469","60576"
"2007-07-20",7,20,"341132","359183","15513764","149385","363404","126513","16415","79369","862","158614"
"2007-07-19",7,19,"732769","651117","15020142","147838","410482","151793","56901","214338","543","332375"
"2007-07-18",7,18,"454882","408145","15023687","146125","390774","107621","48183","150396","2130","183982"
"2007-07-17",7,17,"287907","268047","15382053","146169","389081","85420","13282","104233","831","128506"
"2007-07-16",7,16,"237973","250472","15566670","148601","374253","93402","14804","70914","639","116593"
"2007-07-15",7,15,"263575","276710","15139326","145458","345166","97771","17357","79963","216","119205"
"2007-07-14",7,14,"147883","196027","14258298","132580","294305","77078","7550","45516","491","89414"
"2007-07-13",7,13,"147481","190085","15655908","148191","343068","83215","5709","43445","154","89250"
"2007-07-12",7,12,"182302","214847","15578428","146328","355085","88918","8415","50222","353","94504"
"2007-07-11",7,11,"447538","439913","15011218","145055","361204","130827","33524","132865","303","190089"
"2007-07-10",7,10,"616829","561766","15028529","146078","399831","129519","42648","221611","1190","252514"
"2007-07-09",7,9,"405240","402538","15322953","150829","373022","118360","28792","125104","1006","176559"
"2007-07-08",7,8,"265841","308181","15096523","149242","330709","97079","31733","62869","1210","138825"
"2007-07-07",7,7,"62448","137297","14343823","130977","288023","70158","4746","23328","541","54188"
"2007-07-06",7,6,"171445","195878","15126392","140683","344930","76939","13424","69034","510","95305"
"2007-07-05",7,5,"153218","159627","14570147","134123","329499","63388","12071","69960","426","75462"
"2007-07-04",7,4,"-38353","44533","13162251","119554","244911","40022","6113","19953","200","30558"
"2007-07-03",7,3,"78202","131151","14421237","135698","299088","53603","19699","42881","199","66595"
"2007-07-02",7,2,"249553","281528","15053806","149650","331832","92178","37177","67029","851","129477"
"2007-07-01",7,1,"366264","383823","14813072","152276","330184","116282","50853","97473","817","161350"
"2007-06-30",6,30,"230379","282798","14183220","136985","293332","103987","29657","48429","1167","103322"
"2007-06-29",6,29,"417868","415330","15423012","150805","370856","142401","28379","96269","1078","180429"
"2007-06-28",6,28,"623167","590430","14627249","151390","365967","176277","47587","165274","837","254425"
"2007-06-27",6,27,"660716","589286","14182438","148304","384566","133598","67662","230039","512","259094"
"2007-06-26",6,26,"467628","446174","14686313","141671","368915","114851","46173","132729","606","208157"
"2007-06-25",6,25,"515683","462730","15109467","149987","399359","102512","57310","158430","674","236892"
"2007-06-24",6,24,"127184","185945","15019393","141895","319474","88130","4135","33828","1727","73320"
"2007-06-23",6,23,"59070","134711","14187189","128949","283713","70035","1689","19182","620","46559"
"2007-06-22",6,22,"246380","264114","15411452","145209","360616","95595","20004","69382","464","109867"
"2007-06-21",6,21,"260960","255308","15369029","147188","373325","93418","14890","95861","621","108408"
"2007-06-20",6,20,"377720","392067","15277368","143148","369655","139514","14669","76408","545","183544"
"2007-06-19",6,19,"509814","456475","14896395","141492","390970","120793","48013","200720","647","177275"
"2007-06-18",6,18,"366295","356753","15280657","146424","374888","110766","17946","117192","938","164524"
"2007-06-17",6,17,"355536","390875","15013517","152073","324269","104386","43902","73578","381","190077"
"2007-06-16",6,16,"347832","359925","14105102","131384","319701","80790","39695","100656","737","175306"
"2007-06-15",6,15,"209705","242301","15449191","147341","348167","88617","6560","62259","606","107984"
"2007-06-14",6,14,"309740","292746","15412698","152272","384378","97154","17105","107365","469","138984"
"2007-06-13",6,13,"360489","331600","15063560","149080","376920","105765","24613","125403","207","156249"
"2007-06-12",6,12,"442937","395558","14773857","146802","374092","92149","49593","182902","1149","174468"
"2007-06-11",6,11,"310099","274897","15322326","165089","385197","89857","16866","140889","278","118693"
"2007-06-10",6,10,"138997","166752","15054098","144258","337340","72521","6282","58297","527","68655"
"2007-06-09",6,9,"149037","217787","13977845","127254","277172","101603","4778","34174","675","75046"
"2007-06-08",6,8,"648187","559227","14847204","150058","402959","112342","61192","255418","627","253276"
"2007-06-07",6,7,"204726","220979","15228149","141183","347457","77704","7829","85022","720","95356"
"2007-06-06",6,6,"164994","178599","14853280","140412","346277","70960","12262","68253","1151","84965"
"2007-06-05",6,5,"187056","207679","14702828","136465","329770","80348","7925","67918","575","90177"
"2007-06-04",6,4,"364103","363908","14732340","140340","351678","90296","36135","127440","392","160581"
"2007-06-03",6,3,"406012","385345","14503642","142382","339227","87971","45871","127847","497","191829"
"2007-06-02",6,2,"99255","149343","13321973","119535","273968","68445","9857","39598","699","59047"
"2007-06-01",6,1,"305322","270110","14950000","144013","382204","79496","14630","143498","434","124350"
"2007-05-31",5,31,"180246","188380","15033034","140617","363787","70497","6985","86891","142","88771"
"2007-05-30",5,30,"202329","237178","14537279","136608","328906","68542","34573","68457","292","116576"
"2007-05-29",5,29,"122128","159099","14742430","141648","335277","65798","17855","52976","580","72554"
"2007-05-28",5,28,"61826","126865","14424158","132077","300273","46242","9726","42519","316","76617"
"2007-05-27",5,27,"25712","72180","12874822","114426","258868","42570","7354","40470","137","42607"
"2007-05-26",5,26,"97546","145060","13082754","114671","265386","50821","6061","57221","769","60832"
"2007-05-25",5,25,"211993","240318","15129579","146124","342845","82927","7868","52391","407","119819"
"2007-05-24",5,24,"371075","342991","14734326","140369","362743","79912","28725","130697","504","174315"
"2007-05-23",5,23,"157517","169391","14863293","137776","339661","60740","5385","74137","624","82241"
"2007-05-22",5,22,"162228","185735","14520390","136934","328624","62300","16695","59937","226","95524"
"2007-05-21",5,21,"49851","99877","14938325","137689","328777","55077","2086","27966","568","44972"
"2007-05-20",5,20,"91637","146010","14522251","131689","306419","61588","4024","45521","464","62451"
"2007-05-19",5,19,"-11700","74079","13366357","115809","253260","44042","1196","21608","298","33674"
"2007-05-18",5,18,"173276","192420","14997101","140249","348817","62662","8956","80033","277","83384"
"2007-05-17",5,17,"110774","141739","14999916","136741","337886","69125","3376","40079","959","60997"
"2007-05-16",5,16,"334824","313910","14527684","134173","356306","75135","25763","144740","175","145247"
"2007-05-15",5,15,"283578","253874","14259706","133331","350705","69563","20569","139259","139","119748"
"2007-05-14",5,14,"92790","128942","14886727","138925","333256","54832","13140","50744","266","57639"
"2007-05-13",5,13,"54354","107871","14448056","136795","304216","46415","17094","44082","257","51417"
"2007-05-12",5,12,"33631","93586","13283640","119383","269504","45210","13963","32567","242","44050"
"2007-05-11",5,11,"205904","240241","14895587","141275","344880","77342","18447","82458","323","98123"
"2007-05-10",5,10,"278133","271775","14814336","141657","370483","74599","21241","127468","490","123804"
"2007-05-09",5,9,"93746","109403","14698881","136245","350653","48390","10725","72925","101","58046"
"2007-05-08",5,8,"-30755","34710","14486975","132685","308166","40117","2801","28351","82","26293"
"2007-05-07",5,7,"105362","144581","14866791","138253","335646","65762","5309","50976","375","68642"
"2007-05-06",5,6,"256952","250712","14472698","137781","324850","96006","10551","82576","1240","118338"
"2007-05-05",5,5,"76577","111369","13211840","119053","259797","53272","9687","46079","91","53409"
"2007-05-04",5,4,"166790","174325","14943580","140561","343733","73307","6778","57568","306","81147"
"2007-05-03",5,3,"186551","179987","14825624","137661","351670","71315","16751","68815","565","93483"
"2007-05-02",5,2,"140178","134701","14563598","134725","349027","53105","17912","82088","212","71494"
"2007-05-01",5,1,"101846","106010","14372295","133142","340540","52103","10671","72377","259","61120"
"2007-04-30",4,30,"86143","122336","14766950","136371","339005","52610","6920","58538","218","61630"
"2007-04-29",4,29,"18324","93198","14432564","129897","300269","54166","2450","28589","354","44101"
"2007-04-28",4,28,"-42062","52035","13231860","113677","251020","39450","2417","18867","314","26911"
"2007-04-27",4,27,"266016","290199","14795071","139833","343536","75703","13571","104240","308","137224"
"2007-04-26",4,26,"272074","272475","14627537","136766","350583","77215","14850","115196","690","121219"
"2007-04-25",4,25,"341939","329605","14163703","132230","342212","79056","21172","135773","187","163644"
"2007-04-24",4,24,"110112","118868","13936600","125213","320814","48510","18844","65351","345","67232"
"2007-04-23",4,23,"21693","77555","14843555","132223","316073","44993","2056","36364","240","36950"
"2007-04-22",4,22,"62125","114049","14425213","130232","308876","58191","3697","36191","239","57241"
"2007-04-21",4,21,"-19054","62092","13270819","114818","252556","38318","3787","23182","752","35061"
"2007-04-20",4,20,"52394","110446","14964447","136622","329039","55916","2575","31605","72","55881"
"2007-04-19",4,19,"51509","102464","14888318","135594","326971","54705","1972","37528","250","45947"
"2007-04-18",4,18,"137133","159346","14641399","134324","334172","65768","3069","62627","860","78287"
"2007-04-17",4,17,"182465","186772","14357893","134071","327340","60675","10748","97013","352","84656"
"2007-04-16",4,16,"298456","341920","14488436","135418","312113","96210","16410","98592","813","147530"
"2007-04-15",4,15,"316461","324325","13870214","130750","303536","98866","16482","106726","519","139251"
"2007-04-14",4,14,"117542","164016","13405574","117126","270740","73568","7389","37654","565","66590"
"2007-04-13",4,13,"291298","280306","14716765","139787","339194","79580","28394","105294","271","127377"
"2007-04-12",4,12,"448483","442338","14656750","141013","346278","105006","26350","139158","661","220462"
"2007-04-11",4,11,"404430","367263","14358115","140890","359191","92893","31095","132621","419","197069"
"2007-04-10",4,10,"83396","112265","14795018","134300","336073","59020","3285","46123","525","53205"
"2007-04-09",4,9,"62959","128884","14962557","136689","322295","61238","1255","33690","329","52619"
"2007-04-08",4,8,"46025","115401","14524765","129411","299589","58466","2331","39260","582","50019"
"2007-04-07",4,7,"68920","117699","13509232","115820","287249","58955","4345","40294","335","48693"
"2007-04-06",4,6,"203064","231763","15077702","136532","344601","76097","4359","88963","297","101252"
"2007-04-05",4,5,"247506","273110","15037205","136498","349398","77585","7682","100769","2425","121554"
"2007-04-04",4,4,"360453","347813","14851208","135487","366930","90191","16265","141045","162","163565"
"2007-04-03",4,3,"273295","258027","14541748","136554","347068","75375","28302","109443","186","126634"
"2007-04-02",4,2,"146030","202120","14970020","136104","329107","76291","7989","56772","294","87862"
"2007-04-01",4,1,"220341","259607","14492160","136191","314837","94015","7363","77657","889","106952"
"2007-03-31",3,31,"206730","246397","13379537","123098","288799","95293","14939","54907","783","102130"
"2007-03-30",3,30,"239711","268579","14766389","141518","333255","80807","26587","73066","788","122054"
"2007-03-29",3,29,"253106","256288","14717630","136282","353102","87840","14505","92761","375","124409"
"2007-03-28",3,28,"260629","251150","14847683","134067","363719","68320","7263","123003","414","131151"
"2007-03-27",3,27,"63229","114367","14851208","135356","334557","54372","4156","55608","321","52980"
"2007-03-26",3,26,"110652","158664","14962285","138448","327086","65578","10462","48740","295","74792"
"2007-03-25",3,25,"70536","144422","14570624","133154","308621","75856","5155","27797","1443","54400"
"2007-03-24",3,24,"158620","232429","13440950","117827","268720","83822","7813","51125","373","95696"
"2007-03-23",3,23,"270456","299543","15013739","139270","343119","94372","8100","106803","578","128275"
"2007-03-22",3,22,"457330","447061","14847391","137482","356822","95629","28373","151438","500","231960"
"2007-03-21",3,21,"200453","224125","14611244","132603","335437","60933","9051","102016","270","113506"
"2007-03-20",3,20,"89250","137187","14869562","134080","333373","63034","3185","49402","375","63949"
"2007-03-19",3,19,"188500","229035","15019996","140131","339454","92208","5584","64763","342","94989"
"2007-03-18",3,18,"235532","304297","14485965","134859","311595","107332","13035","60442","604","119883"
"2007-03-17",3,17,"358724","405245","12636079","124292","270287","132537","33396","60130","596","180710"
"2007-03-16",3,16,"197586","212035","11919634","118775","275352","84999","27255","58058","263","74419"
"2007-03-15",3,15,"238735","255800","14948949","140178","349053","86258","9053","84654","226","109299"
"2007-03-14",3,14,"177530","203500","14877051","135501","345547","64891","22944","76254","91","101287"
"2007-03-13",3,13,"113276","163463","14749763","134810","331112","53802","26328","57604","133","86206"
"2007-03-12",3,12,"118862","183936","14977172","141885","329826","66027","8540","50234","356","96376"
"2007-03-11",3,11,"145326","205676","14558197","137529","308529","86140","6570","48160","349","80270"
"2007-03-10",3,10,"60577","125878","13350416","119308","268068","58044","4501","32474","212","49972"
"2007-03-09",3,9,"95242","156239","15042706","140720","332681","73451","2612","43321","197","61995"
"2007-03-08",3,8,"91060","147766","15020169","136263","343277","66954","3913","44420","731","67067"
"2007-03-07",3,7,"314373","295337","14768586","139354","386010","77947","21155","110495","164","169078"
"2007-03-06",3,6,"86991","131597","14653712","131435","333295","63782","5188","57497","163","62270"
"2007-03-05",3,5,"109356","156259","14873410","138333","328237","65648","5010","65237","147","70109"
"2007-03-04",3,4,"112080","171486","14413101","130533","313351","79927","3753","43544","675","64689"
"2007-03-03",3,3,"169663","220937","13123778","118513","271936","94930","6372","52460","765","85193"
"2007-03-02",3,2,"532904","509485","14438034","137693","351846","148659","24485","164383","568","229195"
"2007-03-01",3,1,"536284","465266","14222647","135397","371686","119189","35577","193514","640","223616"
"2007-02-28",2,28,"115528","135318","14700565","137011","343072","69117","5809","49939","258","68500"
"2007-02-27",2,27,"176269","207170","14544226","134846","337124","74106","15958","62971","209","92007"
"2007-02-26",2,26,"449268","452057","14394935","142097","348026","133603","26344","116026","586","207151"
"2007-02-25",2,25,"500813","472055","12894627","135173","321558","148254","69643","104076","414","208039"
"2007-02-24",2,24,"216187","229176","11771096","110312","255019","77958","35717","70078","433","89761"
"2007-02-23",2,23,"229613","242733","14897489","137391","349112","86337","10313","68725","261","116017"
"2007-02-22",2,22,"277176","291327","14783759","136377","339638","86157","9386","103905","1125","127771"
"2007-02-21",2,21,"227866","261789","14427667","133987","323775","82533","50180","55695","277","114472"
"2007-02-20",2,20,"85000","124950","14683783","138729","323965","62584","2459","42692","370","53439"
"2007-02-19",2,19,"213649","255480","14785923","140938","334891","93170","5479","58921","1246","118024"
"2007-02-18",2,18,"161771","208280","14140675","133888","311719","86257","14767","53101","462","83309"
"2007-02-17",2,17,"295266","322517","13080023","125397","293605","117552","12329","67309","690","139738"
"2007-02-16",2,16,"534713","535415","14596938","154492","348347","167463","31798","102409","1449","246894"
"2007-02-15",2,15,"693230","672018","14073562","152651","350249","194668","63927","143529","1335","303667"
"2007-02-14",2,14,"474173","428565","11246035","129624","301474","126957","70425","117614","311","188264"
"2007-02-13",2,13,"323037","272482","11615984","115287","316764","78604","48771","119906","77","120671"
"2007-02-12",2,12,"252176","247442","14199685","137531","345980","76443","15162","89918","241","134910"
"2007-02-11",2,11,"84652","133909","13858055","130022","290640","70687","3156","28983","417","57124"
"2007-02-10",2,10,"26021","94551","12562711","111003","242989","59506","3286","20597","984","35697"
"2007-02-09",2,9,"198982","219351","14465006","136664","333285","85685","7553","65659","256","93099"
"2007-02-08",2,8,"166503","180983","14388804","134335","329605","71129","17965","62605","207","77985"
"2007-02-07",2,7,"172850","191707","13906179","132450","324063","82481","9641","59989","81","87471"
"2007-02-06",2,6,"278708","268261","13375097","138047","329317","76906","34593","116866","597","131794"
"2007-02-05",2,5,"234937","259654","14176551","139614","326074","91260","17778","69757","638","117296"
"2007-02-04",2,4,"140337","175749","13754048","129970","291390","82921","9622","53086","141","75215"
"2007-02-03",2,3,"160577","168967","12483808","110726","266465","65721","10518","79547","124","73765"
"2007-02-02",2,2,"299525","261047","14306172","137727","355599","96097","16696","105852","355","117501"
"2007-02-01",2,1,"296693","221972","13947500","134325","372054","74345","27021","118832","600","116418"
"2007-01-31",1,31,"124938","144320","13983823","129818","330832","58557","20263","49624","79","72851"
"2007-01-30",1,30,"41659","65257","13891461","127543","326373","49685","2925","43982","109","39486"
"2007-01-29",1,29,"131426","151156","14372137","134267","347067","60650","7471","69006","103","77545"
"2007-01-28",1,28,"150953","178564","13927013","130436","328479","69227","11446","64587","164","80121"
"2007-01-27",1,27,"27051","91134","12571893","108395","257321","52944","8508","20922","166","51527"
"2007-01-26",1,26,"170380","202574","14417320","133236","346703","78576","17408","70078","173","86829"
"2007-01-25",1,25,"77118","113872","14441843","132643","345335","53909","5990","57450","99","53011"
"2007-01-24",1,24,"-2724","34127","14112751","129113","324001","38985","2435","36177","34","26270"
"2007-01-23",1,23,"-2473","37828","13877497","126943","315659","38573","1709","30174","39","32710"
"2007-01-22",1,22,"233031","235967","14292056","137066","346229","96668","16353","68288","134","110994"
"2007-01-21",1,21,"521254","424869","13486510","152790","384915","108597","57248","173619","444","227971"
"2007-01-20",1,20,"34251","82973","12416509","108827","260735","46723","9290","33724","132","31312"
"2007-01-19",1,19,"269247","260383","14350389","134646","359937","91214","11149","95788","340","117726"
"2007-01-18",1,18,"387189","325436","14177729","141946","375227","78874","34345","152273","338","165986"
"2007-01-17",1,17,"160042","185631","13407891","125358","326813","59156","34210","61935","31","95084"
"2007-01-16",1,16,"220718","224663","13540451","130019","340570","77083","19499","89942","102","96158"
"2007-01-15",1,15,"538275","493085","13891392","149575","371281","103293","64675","151326","218","249493"
"2007-01-14",1,14,"267451","263486","12835310","128327","321031","77219","28289","96801","310","121975"
"2007-01-13",1,13,"61635","118904","11846391","106838","243845","54294","15595","31149","901","45567"
"2007-01-12",1,12,"258180","266660","14146564","136628","332674","70016","18616","111241","216","126517"
"2007-01-11",1,11,"121323","146100","14489430","131933","341168","53498","8921","73488","193","81664"
"2007-01-10",1,10,"19456","59548","14169629","127720","326687","41847","4084","40369","472","35377"
"2007-01-09",1,9,"70178","116409","13959919","125232","316517","43322","1877","63979","72","58645"
"2007-01-08",1,8,"80719","134800","14442392","131974","318618","60607","5593","50008","350","52348"
"2007-01-07",1,7,"189101","213452","14179089","134713","314675","87117","14726","59883","1248","84063"
"2007-01-06",1,6,"90957","158556","13128583","115810","264227","74573","4130","33233","586","57685"
"2007-01-05",1,5,"405980","394432","14545820","143305","349932","103502","33073","134987","1943","187689"
"2007-01-04",1,4,"272598","283599","14645733","136504","344079","87714","27740","89638","399","135622"
"2007-01-03",1,3,"139403","197165","14924865","138819","327852","76328","3836","50555","937","75045"
"2007-01-02",1,2,"182226","248204","15068479","143756","335336","95205","3526","47771","1022","89997"
"2007-01-01",1,1,"297730","345617","14089268","137640","304610","112256","10195","82315","770","137727"
